# paper: 10.1039%2FC3CE41975D
# figure: Figure 10  panel: Figure_10_0
# technique: magnetic_susceptibility  material: [CoSr(pydc)2(H2O)6]2n·H2O (3)
# series: [CoSr(pydc)2(H2O)6]2n·H2O (3)  (experimental)
# x: T/K   y: data units from y ticks
# read by: pixels
x,y
-3.19277,0.317000
-2.59789,0.389464
-1.50602,0.447857
-1.50602,0.737857
-1.35542,0.466429
-1.20482,0.736429
-1.20482,0.447857
-0.90361,0.535000
-0.90361,0.695000
-0.60241,0.535000
-0.60241,0.718571
-0.60241,0.695000
-0.30120,0.606429
-0.30120,0.718571
0.00000,0.607143
0.00000,0.718571
0.30120,0.718571
0.60241,0.718571
0.90361,0.718571
0.90361,0.487143
1.20482,0.487857
1.20482,0.718571
1.50602,0.718571
1.80723,0.718571
2.10843,0.718571
2.40964,0.718571
2.53873,0.246190
2.71084,0.718571
3.01205,0.718571
3.31325,0.718571
3.61446,0.718571
3.91566,0.718571
4.21687,0.718571
4.51807,0.718571
4.81928,0.718571
5.12048,0.718571
5.12048,0.286429
5.42169,0.718571
5.72289,0.717857
6.02410,0.718571
6.32530,0.717857
6.62651,0.717143
6.92771,0.737857
7.19127,0.242679
7.22892,0.737857
7.26657,0.675893
7.53012,0.702143
7.78830,0.683878
7.83133,0.702143
8.13253,0.690714
8.35843,0.223929
8.43373,0.690714
8.73494,0.697143
8.73494,0.691429
9.33735,0.484286
9.33735,0.499286
9.45783,0.701714
9.63855,0.490000
9.93976,0.454286
10.06024,0.197857
10.20331,0.707321
10.24096,0.454286
10.54217,0.416429
10.61747,0.185000
10.73042,0.537679
10.84337,0.416429
11.14458,0.393571
11.14458,0.557857
11.14458,0.550714
11.29518,0.730714
11.44578,0.394286
11.44578,0.556429
11.82229,0.173571
11.84739,0.726667
11.97289,0.368036
12.34940,0.341429
12.34940,0.351429
12.53012,0.578714
12.65060,0.349286
12.68825,0.588393
12.95181,0.327143
13.08090,0.163265
13.19277,0.596571
13.25301,0.327857
13.79518,0.312286
13.80522,0.611429
14.38253,0.619286
14.75904,0.270714
14.84509,0.762653
15.06024,0.270714
15.61245,0.637143
16.70528,0.776044
17.40295,0.234286
17.73092,0.785905
17.77108,0.132262
18.52410,0.799286
19.17671,0.212619
19.78916,0.691571
20.28112,0.118730
21.38554,0.717857
21.68675,0.717857
22.20310,0.108571
24.04618,0.170000
26.40562,0.158333
26.70092,0.771345
27.84775,0.150390
28.65211,0.788393
32.06462,0.133247
33.21859,0.073469
35.49914,0.122449
36.39558,0.819048
36.56627,0.872714
37.91416,0.062679
39.89595,0.110390
40.03286,0.879091
40.96386,0.830000
41.26506,0.830714
41.56627,0.830000
41.86747,0.830714
42.16867,0.830714
42.46988,0.830714
42.77108,0.830714
43.07229,0.830000
43.37349,0.830000
43.62450,0.102381
44.66437,0.827755
46.53614,0.879643
48.01205,0.094000
48.19277,0.830000
48.49398,0.830714
48.79518,0.830714
49.09639,0.830714
49.39759,0.830714
49.54819,0.882381
49.69880,0.830714
50.00000,0.830714
50.30120,0.830000
50.60241,0.830000
51.62651,0.088286
53.91566,0.832857
54.21687,0.832857
54.51807,0.082143
54.51807,0.833571
54.81928,0.833571
55.12048,0.833571
55.15060,0.882286
55.42169,0.833571
55.72289,0.832857
56.02410,0.832857
58.32078,0.079464
60.39157,0.830714
63.21536,0.834107
64.42018,0.828393
65.81325,0.876429
69.77912,0.870000
72.02560,0.870179
74.09639,0.817143
75.00000,0.862857
75.30120,0.862857
75.60241,0.862143
75.90361,0.862143
76.05422,0.810714
76.20482,0.862143
76.50602,0.862143
76.80723,0.862857
77.10843,0.862857
79.48042,0.805536
80.87349,0.802143
80.87349,0.853571
81.02410,0.060000
81.32530,0.060000
81.62651,0.059286
81.92771,0.059286
82.22892,0.059286
82.22892,0.019286
82.53012,0.059286
82.53012,0.019286
82.83133,0.059286
82.83133,0.019286
83.13253,0.059286
83.13253,0.019286
83.43373,0.059286
83.43373,0.019286
83.73494,0.019286
83.73494,0.060000
84.03614,0.019286
84.03614,0.060000
84.29970,0.796964
84.33735,0.019286
84.63855,0.019286
84.93976,0.019286
85.24096,0.019286
85.54217,0.019286
85.84337,0.018571
86.14458,0.019286
86.44578,0.017143
86.74699,0.015714
87.04819,0.016429
87.34940,0.016429
87.65060,0.016429
87.95181,0.016429
88.25301,0.016429
88.51657,0.788393
88.55422,0.016429
88.85542,0.016429
89.15663,0.016429
89.45783,0.016429
89.75904,0.016429
90.06024,0.016429
90.36145,0.016429
90.66265,0.016429
90.69277,0.782000
90.81325,0.833571
90.96386,0.016429
91.26506,0.015714
91.56627,0.015714
91.90512,0.830179
93.10994,0.824464
95.93373,0.825000
96.61145,0.776071
96.93775,0.013333
97.89157,0.818571
99.96988,0.764857
103.05221,0.775524
103.34892,0.036147
109.65441,0.809323
110.39157,0.759286
116.00151,0.787321
119.23946,0.756964
119.57831,0.802857
119.87952,0.802857
120.18072,0.802143
120.48193,0.802143
120.78313,0.802143
120.81325,0.753429
121.08434,0.802143
121.38554,0.802857
121.68675,0.802857
125.64006,0.784464
126.06024,0.773714
126.50602,0.762857
127.84262,0.040804
128.87801,0.784464
133.07777,0.788279
133.98197,0.016701
137.00803,0.749810
140.93373,0.785143
144.27711,0.772857
144.57831,0.005000
144.87952,0.020714
145.18072,0.022143
145.55280,0.749076
146.87842,0.758701
149.96235,0.770179
151.35542,0.722143
151.35542,0.773571
153.35090,0.728393
160.76123,0.765065
168.33195,0.748768
168.80088,0.604961
169.38176,0.429939
169.42243,0.517531
169.59252,0.253841
169.63624,0.340714
170.71468,0.166472
173.92905,0.715601
177.14608,0.735893
178.27218,0.708377
178.31325,0.741429
180.87349,0.699286
183.13253,0.706964
184.03614,0.738820
184.48795,0.112619
185.84337,0.730000
187.31175,0.730179
189.72139,0.694107
189.91619,0.740932
195.51958,0.724464
198.75753,0.733036
200.75301,0.687857
200.93373,0.739429
204.66867,0.113571
210.81325,0.684857
210.99398,0.736429
217.44369,0.718696
218.67470,0.688571
219.54066,0.728571
219.98905,0.682727
224.13655,0.692762
224.54819,0.112857
224.73896,0.717333
227.71084,0.715963
229.48042,0.724464
229.49188,0.682733
230.91114,0.728036
234.07380,0.688393
239.41767,0.678381
240.69277,0.725143
244.54819,0.112429
245.16190,0.096295
